filename,width,height,class,xmin,ymin,xmax,ymax
MODEL 3 TRAIN (79).jpg,1920,1080,Agujero,1012,156,1077,216
MODEL 3 TRAIN (8).jpg,1920,1080,Agujerote,218,759,423,956
MODEL 3 TRAIN (8).jpg,1920,1080,Agujero,705,521,811,617
MODEL 3 TRAIN (8).jpg,1920,1080,Agujero,1006,146,1071,205
MODEL 3 TRAIN (83).jpg,1920,1080,Agujerote,453,756,657,961
MODEL 3 TRAIN (83).jpg,1920,1080,Agujero,934,516,1034,617
MODEL 3 TRAIN (83).jpg,1920,1080,Agujero,1224,134,1288,195
MODEL 3 TRAIN (84).jpg,1920,1080,Agujerote,221,781,428,986
MODEL 3 TRAIN (84).jpg,1920,1080,Agujero,712,537,814,637
MODEL 3 TRAIN (84).jpg,1920,1080,Agujero,1013,155,1076,215
MODEL 3 TRAIN (85).jpg,1920,1080,Agujerote,396,745,599,947
MODEL 3 TRAIN (85).jpg,1920,1080,Agujero,881,506,981,604
MODEL 3 TRAIN (85).jpg,1920,1080,Agujero,1173,122,1238,184
MODEL 3 TRAIN (86).jpg,1920,1080,Agujerote,424,736,632,942
MODEL 3 TRAIN (86).jpg,1920,1080,Agujero,908,497,1008,597
MODEL 3 TRAIN (86).jpg,1920,1080,Agujero,1202,117,1263,176
MODEL 3 TRAIN (88).jpg,1920,1080,Agujerote,450,760,652,964
MODEL 3 TRAIN (88).jpg,1920,1080,Agujero,933,518,1032,618
MODEL 3 TRAIN (88).jpg,1920,1080,Agujero,1224,136,1289,196
MODEL 3 TRAIN (9).jpg,1920,1080,Agujerote,209,784,422,984
MODEL 3 TRAIN (9).jpg,1920,1080,Agujero,705,539,809,640
MODEL 3 TRAIN (9).jpg,1920,1080,Agujero,1009,156,1074,215
MODEL 3 TRAIN (90).jpg,1920,1080,Agujerote,193,771,401,970
MODEL 3 TRAIN (90).jpg,1920,1080,Agujero,686,530,787,627
MODEL 3 TRAIN (90).jpg,1920,1080,Agujero,989,154,1053,212
MODEL 3 TRAIN (91).jpg,1920,1080,Agujerote,419,727,626,932
MODEL 3 TRAIN (91).jpg,1920,1080,Agujero,903,492,1003,589
MODEL 3 TRAIN (91).jpg,1920,1080,Agujero,1192,114,1253,172
MODEL 3 TRAIN (92).jpg,1920,1080,Agujerote,454,724,659,931
MODEL 3 TRAIN (92).jpg,1920,1080,Agujero,931,487,1034,589
MODEL 3 TRAIN (92).jpg,1920,1080,Agujero,1219,109,1281,167
MODEL 3 TRAIN (93).jpg,1920,1080,Agujerote,361,751,568,955
MODEL 3 TRAIN (93).jpg,1920,1080,Agujero,846,512,949,615
MODEL 3 TRAIN (93).jpg,1920,1080,Agujero,1142,132,1206,192
MODEL 3 TRAIN (95).jpg,1920,1080,Agujerote,234,755,439,952
MODEL 3 TRAIN (95).jpg,1920,1080,Agujero,722,517,822,615
MODEL 3 TRAIN (95).jpg,1920,1080,Agujero,1022,144,1087,202
MODEL 3 TRAIN (98).jpg,1920,1080,Agujerote,358,751,568,954
MODEL 3 TRAIN (98).jpg,1920,1080,Agujero,849,510,948,611
MODEL 3 TRAIN (98).jpg,1920,1080,Agujero,1142,131,1204,192
MODEL 3 TRAIN (99).jpg,1920,1080,Agujerote,406,752,611,959
MODEL 3 TRAIN (99).jpg,1920,1080,Agujero,892,510,993,611
MODEL 3 TRAIN (99).jpg,1920,1080,Agujero,1188,125,1251,186
